289 : (312, 565) 796 10
290 : (312, 569) 802 10
291 : (312, 572) 806 10
292 : (361, 556) 599 11
293 : (363, 558) 596 11
294 : (363, 561) 599 11
295 : (308, 590) 849 12
296 : (311, 592) 839 12
297 : (312, 596) 844 12
298 : (311, 600) 854 12
299 : (310, 605) 870 12
300 : (319, 604) 836 12
301 : (326, 604) 811 12
302 : (334, 604) 785 12
303 : (340, 604) 764 12
304 : (346, 604) 742 12
305 : (352, 604) 724 12
306 : (358, 603) 704 12
307 : (363, 603) 684 12
308 : (368, 603) 670 12
309 : (373, 603) 655 12
310 : (377, 603) 640 12
311 : (382, 603) 626 12
312 : (386, 602) 611 12
313 : (391, 602) 598 12
314 : (394, 602) 587 12
315 : (397, 603) 583 12
316 : (399, 605) 583 12
317 : (399, 608) 590 12
318 : (402, 609) 585 12
319 : (406, 609) 576 12
320 : (407, 611) 577 12
321 : (411, 610) 567 12
322 : (414, 610) 559 12
323 : (417, 610) 553 12
324 : (420, 610) 545 12
325 : (423, 610) 539 12
326 : (426, 610) 532 12
327 : (428, 611) 530 12
328 : (431, 610) 521 12
329 : (433, 611) 518 12
330 : (436, 611) 513 12
331 : (438, 611) 509 12
332 : (441, 611) 503 12
333 : (443, 611) 499 12
334 : (446, 611) 495 12
335 : (448, 611) 490 12
336 : (450, 611) 487 12
337 : (453, 611) 483 12
338 : (455, 611) 480 12
339 : (457, 611) 476 12
340 : (459, 611) 474 12
341 : (462, 611) 470 12
342 : (464, 611) 466 12
343 : (466, 611) 465 12
344 : (468, 611) 462 12
345 : (470, 611) 459 12
346 : (472, 611) 457 12
347 : (474, 611) 456 12
348 : (476, 611) 453 12
349 : (478, 611) 452 12
350 : (480, 611) 450 12
351 : (482, 611) 448 12
352 : (484, 611) 447 12
353 : (486, 611) 447 12
354 : (488, 611) 445 12
355 : (490, 611) 444 12
356 : (492, 611) 444 12
357 : (494, 611) 444 12
358 : (496, 611) 443 12
359 : (498, 611) 443 12
